identifier	batch
SRR1453145	GTEx_polyA
SRR1453214	GTEx_polyA
SRR1453341	GTEx_polyA
SRR1453569	GTEx_polyA
SRR1453702	GTEx_polyA
SRR1453851	GTEx_polyA
SRR1453932	GTEx_polyA
SRR1454803	GTEx_polyA
SRR1454950	GTEx_polyA
SRR1455060	GTEx_polyA
SRR1455171	GTEx_polyA
SRR1455305	GTEx_polyA
SRR1455369	GTEx_polyA
SRR1455677	GTEx_polyA
SRR1455698	GTEx_polyA
SRR1455925	GTEx_polyA
SRR1456294	GTEx_polyA
SRR1456333	GTEx_polyA
SRR1456514	GTEx_polyA
SRR1456531	GTEx_polyA
SRR1456841	GTEx_polyA
SRR1456903	GTEx_polyA
SRR1456950	GTEx_polyA
SRR1457221	GTEx_polyA
SRR1457418	GTEx_polyA
SRR1457482	GTEx_polyA
SRR1457503	GTEx_polyA
SRR1457551	GTEx_polyA
SRR1457597	GTEx_polyA
SRR1458044	GTEx_polyA
SRR1458134	GTEx_polyA
SRR1458180	GTEx_polyA
SRR1458422	GTEx_polyA
SRR1458595	GTEx_polyA
SRR1459033	GTEx_polyA
SRR1459211	GTEx_polyA
SRR1459423	GTEx_polyA
SRR1459441	GTEx_polyA
SRR1459585	GTEx_polyA
SRR1459655	GTEx_polyA
SRR1459718	GTEx_polyA
SRR1459804	GTEx_polyA
SRR1466641	GTEx_polyA
SRR1466833	GTEx_polyA
SRR1466850	GTEx_polyA
SRR1466871	GTEx_polyA
SRR1470397	GTEx_polyA
SRR1470902	GTEx_polyA
SRR1471350	GTEx_polyA
SRR1471374	GTEx_polyA
SRR1471417	GTEx_polyA
SRR1471435	GTEx_polyA
SRR1471773	GTEx_polyA
SRR1471817	GTEx_polyA
SRR1471903	GTEx_polyA
SRR1471922	GTEx_polyA
SRR1471943	GTEx_polyA
SRR1472079	GTEx_polyA
SRR1472150	GTEx_polyA
SRR1472193	GTEx_polyA
SRR1472301	GTEx_polyA
SRR1472323	GTEx_polyA
SRR1472621	GTEx_polyA
SRR1472663	GTEx_polyA
SRR1472770	GTEx_polyA
SRR1473185	GTEx_polyA
SRR1473422	GTEx_polyA
SRR1473590	GTEx_polyA
SRR1473654	GTEx_polyA
SRR1473733	GTEx_polyA
SRR1473822	GTEx_polyA
SRR1473936	GTEx_polyA
SRR1473979	GTEx_polyA
SRR1474065	GTEx_polyA
SRR1474137	GTEx_polyA
SRR1474333	GTEx_polyA
SRR1474466	GTEx_polyA
SRR1474509	GTEx_polyA
SRR1474553	GTEx_polyA
SRR1474684	GTEx_polyA
SRR1474754	GTEx_polyA
SRR1474777	GTEx_polyA
SRR1474795	GTEx_polyA
SRR1474886	GTEx_polyA
SRR1474951	GTEx_polyA
SRR1475022	GTEx_polyA
SRR1475168	GTEx_polyA
SRR1475257	GTEx_polyA
SRR1475386	GTEx_polyA
SRR1475609	GTEx_polyA
SRR1475675	GTEx_polyA
SRR1475737	GTEx_polyA
SRR1475803	GTEx_polyA
